ec5_uuid,created_at,1_TIme,2_NC,4_ST_Behavior,5_Contact,6_AR,7_3M,8_Notes,10_NY_Behavior,11_Contact,12_AR,13_3M,14_Notes,16_SR_Behavior,17_Contact,18_AR,19_3M,20_Notes,22_TK_Behavior,23_Contact,24_AR,25_3M,26_Notes,28_TN_Behavior,29_Contact,30_AR,31_3M,32_Notes,34_LN_Behavior,35_Contact,36_AR,37_3M,38_Notes,40_MT_Behavior,41_Contact,42_AR,43_3M,44_Notes,46_NR_Behavior,47_Contact,48_AR,49_3M,50_Notes,date_dt,date_str,condition,date,msm,group,Ind1,behaviour,partner,notes,playing,aggression,trial,phase,block_ID,qualifier,4_MS_Behavior,10_ST_Behavior,16_NH_Behavior,22_LN_Behavior,28_NR_Behavior,34_MN_Behavior,40_NY_Behavior,4_MZ_Behavior,8_Occurence,9_Notes,11_SB_Behavior,12_Contact,13_AR,14_3M,15_Occurence,16_Notes,18_GG_Behavior,19_Contact,20_AR,21_3M,22_Occurence,23_Notes,25_TN_Behavior,26_Contact,27_AR,28_3M,29_Occurence,30_Notes,32_SR_Behavior,33_Contact,34_AR,35_3M,36_Occurence,37_Notes,38_MS_Behavior,39_Contact,40_AR,41_3M,42_Occurence,43_Notes,44_LN_Behavior,45_Contact,46_AR,47_3M,48_Occurence,49_Notes,50_NR_Behavior,51_Contact,52_AR,53_3M,54_Occurence,55_Notes
07X,5/30/25,09:52,,PL,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-30 00:00:00,30-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDN,5/31/25,10:07,,PL,,TK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eK3,5/31/25,11:20,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMY,5/31/25,11:21,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNR,5/31/25,11:22,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2y,5/31/25,11:23,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lp8,5/31/25,11:24,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4qK,5/31/25,11:25,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zH3,5/31/25,11:26,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9v,5/31/25,11:27,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7Q,5/31/25,11:28,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cX,5/31/25,11:29,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mJ5,5/31/25,11:30,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8R9,5/31/25,11:31,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k4W,5/31/25,11:32,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2z,5/31/25,11:33,,PL,,SR,,biting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-31 00:00:00,31-05-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yVr,04.09.2025,10:29,,,,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-04 00:00:00,04-09-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca9,4/21/25,11:01,,,,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-21 00:00:00,21-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zC5,05.04.2025,11:30,,,,,,,DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05 00:00:00,05-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3CY,05.04.2025,14:22,,,,,,,PL,,TK,,MOUTH ON MOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05 00:00:00,05-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nAh,05.04.2025,14:23,,,,,,,PL,,TK,,MOUTH ON MOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-05 00:00:00,05-04-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
